DOI,Title,Authors,Journal,Year,Abstract,LitmapsId,Cited By,References,PubMedId,Tags
10.1145/3731302.3731325,4-Level MOFs and Bootstrapping Tools,Don Batory,ACM eBooks,2026,(missing abstract),307994473,0,302,,
10.1145/3634713.3634732,A Demonstration of End-User Code Customization Using Generative AI,Mathieu Acher,International Workshop on Variability Modelling of Software-Intensive Systems,2024,"Producing a variant of code is highly challenging, particularly for individuals unfamiliar with programming. This demonstration introduces a novel use of generative AI to aid end-users in customizing code. We first describe how generative AI can be used to customize code through prompts and instructions, and further demonstrate its potential in building end-user tools for configuring code. We showcase how to transform an undocumented, technical, low-level TikZ into a user-friendly, configurable, Web-based customization tool written in Python, HTML, CSS, and JavaScript and itself configurable. We discuss how generative AI can support this transformation process and traditional variability engineering tasks, such as identification and implementation of features, synthesis of a template code generator, and development of end-user configurators. We believe it is a first step towards democratizing variability programming, opening a path for end-users to adapt code to their needs.",269051327,2,57,,
10.1145/3382025.3414976,Machine learning and configurable systems: a gentle introduction,"Juliana Alves Pereira, Hugo Martin, Paul Temple, M. Acher",SPLC,2020,"The goal of this tutorial is to give a gentle introduction to how machine learning can be used to support software product line configuration. This is our second practical tutorial in this trending field. The tutorial is based on a systematic literature review and includes practical tasks (specialization, performance and bug prediction) on real-world systems (Linux, VaryLaTeX, x264). The material is designed for academics and practitioners with basic knowledge in software product lines and machine learning.",232399651,8,6,,
10.1145/3579027.3608972,On Programming Variability with Large Language Model-based Assistant,"M. Acher, J. Duarte, J. Jézéquel",Software Product Lines Conference,2023,"Programming variability is central to the design and implementation of software systems that can adapt to a variety of contexts and requirements, providing increased flexibility and customization. Managing the complexity that arises from having multiple features, variations, and possible configurations is known to be highly challenging for software developers. In this paper, we explore how large language model (LLM)-based assistants can support the programming of variability.We report on new approaches made possible with LLM-based assistants, like: features and variations can be implemented as prompts; augmentation of variability out of LLM-based domain knowledge; seamless implementation of variability in different kinds of artefacts, programming languages, and frameworks, at different binding times (compile-time or run-time). We are sharing our data (prompts, sessions, generated code, etc.) to support the assessment of the effectiveness and robustness of LLMs for variability-related tasks.",263828907,25,80,,
10.1109/cps-iotbench56135.2022.00007,Regression Model Trees: Compact Energy Models for Complex IoT Devices,"Daniel Friesel, O. Spinczyk",2022 Workshop on Benchmarking Cyber-Physical Systems and Internet of Things (CPS-IoTBench),2022,"The energy and timing behaviour of embedded components such as radio chips or sensors plays an important role when developing energy-efficient cyber-physical systems and IoT devices. However, datasheet values generally have low accuracy and may be incomplete, and performing new energy measurements after each code or hardware configuration change is time-consuming. While energy models – automatically generated from benchmarks exercising all relevant device configurations – offer a solution, they should have both low prediction error and low complexity in order to be useful to humans as well as energy simulations. With today’s increasingly complex devices and drivers, generating compact and accurate energy models is becoming harder due to non-linear effects and interdependencies between configuration parameters. To address this issue, we present Regression Model Trees. By combining software product line engineering and energy modeling methodologies, these are capable of automatically learning complex energy models from benchmark data. Using energy and timing benchmarks on two embedded radio chips and an air quality sensor, we show that Regression Model Trees are both more accurate than conventional energy models and less complex than state-of-the-art approaches from the product line engineering community. Thus, they are easier to understand and use for humans and algorithms alike. We observe two-to 100-fold complexity reduction, and a maximum energy model error of 6 % with cross-validation.",55787848,8,29,,
(missing DOI),Activity Report 2019 Team DIVERSE Diversity-centric Software Engineering Joint team with Inria Rennes – Bretagne Atlantique D 4 – Language and Software Engineering,(missing authors),(missing journal),2020,(missing abstract),243362640,0,133,,
10.1145/3731302.3731324,Grammars and Parsing,Don Batory,ACM eBooks,2026,(missing abstract),306506039,0,302,,
10.48550/arxiv.2204.12918,We're not gonna break it!: consistency-preserving operators for efficient product line configuration,"J. Horcas, D. Strüber, Alexandru Burdusel, Jabier Martinez, S. Zschaler",SPLC,2022,"When configuring a software product line, finding a good trade-off between multiple orthogonal quality concerns is a challenging multi-objective optimisation problem. State-of-the-art solutions based on search-based techniques create invalid configurations in intermediate steps, requiring additional repair actions that reduce the efficiency of the search. In this work, we introduce consistency-preserving configuration operators (CPCOs)—genetic operators that maintain valid configurations throughout the entire search. CPCOs bundle coherent sets of changes: the activation or deactivation of a particular feature together with other (de)activations that are needed to preserve validity. In our evaluation, our instantiation of the IBEA algorithm with CPCOs outperforms two state-of-the-art tools for optimal product line configuration in terms of both speed and solution quality. The improvements are especially pronounced in large product lines with thousands of features.",262629201,19,75,,
(missing DOI),Monte Carlo Simulations for Variability Analyses in Highly Configurable Systems,"José Miguel Horcas Aguilera, A. G. Márquez, J. Galindo, David Benavides",ConfWS,2021,". Highly conﬁgurable systems expose numerous variation points to be conﬁgured by the stakeholders. Deciding which variant to select for a given variation point is hard to know a priori because each variant affects the conﬁguration properties ( e.g., performance, efﬁciency, fault tolerance) differently, and evaluating all conﬁgurations is practically infeasible. This paper introduces an approach based on Monte Carlo simulations to analyze the inﬂuence of each feature selection when conﬁguring a variability model. We split the whole conﬁguration space into step-wise decisions driven by the variation points that a user normally needs to face/decide during the conﬁguration process. Monte Carlo simulations approximate the in-ﬂuence of each feature variant evaluating as few conﬁgurations as possible. Our solution complements existing sampling techniques to analyze colossal conﬁguration spaces improving the understanding of the inﬂuence of each feature selection. It can be part of a decision-making tool to assist the user by means of recommendation systems and interactive conﬁguration processes.",233855750,1,51,,
10.1109/tse.2025.3525955,Accuracy Can Lie: On the Impact of Surrogate Model in Configuration Tuning,"Pengzhou Chen, Jingzhi Gong, Tao Chen",arXiv (Cornell University),2025,"To ease the expensive measurements during configuration tuning, it is natural to build a surrogate model as the replacement of the system, and thereby the configuration performance can be cheaply evaluated. Yet, a stereotype therein is that the higher the model accuracy, the better the tuning result would be. This""accuracy is all""belief drives our research community to build more and more accurate models and criticize a tuner for the inaccuracy of the model used. However, this practice raises some previously unaddressed questions, e.g., Do those somewhat small accuracy improvements reported in existing work really matter much to the tuners? What role does model accuracy play in the impact of tuning quality? To answer those related questions, we conduct one of the largest-scale empirical studies to date-running over the period of 13 months 24*7-that covers 10 models, 17 tuners, and 29 systems from the existing works while under four different commonly used metrics, leading to 13,612 cases of investigation. Surprisingly, our key findings reveal that the accuracy can lie: there are a considerable number of cases where higher accuracy actually leads to no improvement in the tuning outcomes (up to 58% cases under certain setting), or even worse, it can degrade the tuning quality (up to 24% cases under certain setting). We also discover that the chosen models in most proposed tuners are sub-optimal and that the required % of accuracy change to significantly improve tuning quality varies according to the range of model accuracy. Deriving from the fitness landscape analysis, we provide in-depth discussions of the rationale behind, offering several lessons learned as well as insights for future opportunities. Most importantly, this work poses a clear message to the community: we should take one step back from the natural""accuracy is all""belief for model-based configuration tuning.",282924515,27,104,,
(missing DOI),Solving Multi-Configuration Problems: A Performance Analysis with Choco Solver,"Benjamin Ritz, A. Felfernig, Viet-Man Le, Sebastian Lubos",(missing journal),2023,"In many scenarios, configurators support the configuration of a solution that satisfies the preferences of a single user. The concept of \emph{multi-configuration} is based on the idea of configuring a set of configurations. Such a functionality is relevant in scenarios such as the configuration of personalized exams, the configuration of project teams, and the configuration of different trips for individual members of a tourist group (e.g., when visiting a specific city). In this paper, we exemplify the application of multi-configuration for generating individualized exams. We also provide a constraint solver performance analysis which helps to gain some insights into corresponding performance issues.",265339516,0,22,,
10.1145/3503229.3547026,kconfig-webconf,"Daniel Friesel, Kathrin Elmenhorst, Lennart Kaiser, Michael Müller, Olaf Spinczyk, Daniel Friesel, Kathrin Elmenhorst, Lennart Kaiser, Michael Müller, Olaf Spinczyk",(missing journal),2022,(missing abstract),251854615,2,9,,
(missing DOI),"Feature-Oriented Defect Prediction: Scenarios, Metrics, and Classifiers","M. Mukelabai, Stefan Strüder, D. Strüber, T. Berger",ArXiv,2021,"Software defects are a major nuisance in software development and can lead to considerable financial losses or reputation damage for companies. To this end, a large number of techniques for predicting software defects, largely based on machine learning methods, has been developed over the past decades. These techniques usually rely on code-structure and process metrics to predict defects at the granularity of typical software assets, such as subsystems, components, and files. In this paper, we systematically investigate feature-oriented defect prediction: predicting defects at the granularity of features—domain-entities that abstractly represent software functionality and often cross-cut software assets. Feature-oriented prediction can be beneficial, since: (i) particular features might be more error-prone than others, (ii) characteristics of features known as defective might be useful to predict other error-prone features, and (iii) feature-specific code might be especially prone to faults arising from feature interactions. We explore the feasibility and solution space for feature-oriented defect prediction. We design and investigate scenarios, metrics, and classifiers. Our study relies on 12 software projects from which we analyzed 13,685 bug-introducing and corrective commits, and systematically generated 62,868 training and test datasets to evaluate the designed classifiers, metrics, and scenarios. The datasets were generated based on the 13,685 commits, 81 releases, and 24, 532 permutations of our 12 projects depending on the scenario addressed. We covered scenarios, such as just-in-time (JIT) and cross-project defect prediction. Our results confirm the feasibility of feature-oriented defect prediction. We found the best performance (i.e., precision and robustness) when using the Random Forest classifier, with process and structure metrics. Surprisingly, we found high performance for single-project JIT (median AUROC ≥ 95%) and release-level (median AUROC ≥ 90%) defect prediction—contrary to studies that assert poor performance due to insufficient training data. Lastly, we found that a model trained on release-level data from one of the twelve projects could predict defect-proneness of features in the other eleven projects with median performance of 82 %, without retraining on the target projects. Our results suggest potential for defect-prediction model-reuse across projects, as well as more reliable defect predictions for developers as they modify or release software features.",231072446,0,93,,
10.1109/ase56229.2023.00091,CoMSA: A Modeling-Driven Sampling Approach for Configuration Performance Testing,"Yuanjie Xia, Zishuo Ding, Weiyi Shang",International Conference on Automated Software Engineering,2023,"Highly configurable systems enable customers to flexibly configure the systems in diverse deployment environments. The flexibility of configurations also poses challenges for performance testing. On one hand, there exist a massive number of possible configurations; while on the other hand, the time and resources are limited for performance testing, which is already a costly process during software development. Modeling the performance of configurations is one of the solutions to reduce the cost of configuration performance testing. Although prior research proposes various modeling and sampling techniques to build configuration performance models, the sampling approaches used in the model typically do not consider the accuracy of the performance models, leading to potential sub-optimal performance modeling results in practice. In this paper, we present a modeling-driven sampling approach (CoMSA) to improve the performance modeling of highly configurable systems. The intuition of CoMSA is to select samples based on their uncertainties to the performance models. In other words, the configurations that have the more uncertain performance prediction results by the performance models are more likely to be selected as further training samples to improve the model. CoMSA is designed by considering both scenarios where 1) the software projects do not have historical performance testing results (cold start) and 2) there exist historical performance testing results (warm start). We evaluate the performance of our approach in four subjects, namely LRZIP, LLVM, x264, and SQLite. Through the evaluation result, we can conclude that our sampling approaches could highly enhance the accuracy of the prediction models and the efficiency of configuration performance testing compared to other baseline sampling approaches.",266042371,5,51,,
(missing DOI),Performance is not Boolean: Supporting Scalar Configuration Variables in NFP Models,"Daniel Friesel, O. Spinczyk",(missing journal),2022,"Non-functional properties (NFPs) such as memory require-ments, timing, or energy consumption are important charac-teristics of embedded software systems and software product lines (SPLs) in general. Both during system design and at runtime, the goal is to optimize resource utilization (and, thus, NFPs) by appropriate system configuration or orchestration. NFP models, learned from benchmarks of various SPL configurations, allow for the prediction of these properties, thus enabling NFP-aware software configuration and runtime decisions. However, many existing approaches for automated learning of NFP models limit their scope to boolean variables. We argue that this is no longer sufficient: NFP models must accommodate scalar variables to achieve suitable accuracy when faced with today’s highly configurable software systems and variable workloads. To this end, we evaluate four regression tree-based NFP modeling approaches on eight use cases, and examine model complexity and model accuracy. We find that models with support for scalar variables achieve up to three times lower mean model error when predicting configurations that were not part of the training set. At the same time, the complexity of scalar and boolean-only models is nearly the same; only benchmarking becomes more time-intensive due to the need to explore scalar variables. We conclude that scalar-enabled models provide increased accuracy almost free of charge, and recommend using them when generating NFP models for embedded systems and workloads with scalar configuration variables.",238228667,1,25,,
10.1109/icse-companion66252.2025.00027,"Towards Realistic, Applicable and Feasible Configuration-Aware Performance Modeling",Yuanjie Xia,2025 IEEE/ACM 47th International Conference on Software Engineering: Companion Proceedings (ICSE-Companion),2025,"In modern software systems, configurability has become essential for optimizing performance across varying scenarios and user demands. However, predicting performance in configurable software remains challenging due to the complex interplay between configuration settings and workload characteristics. Existing performance models lack applicability and ignore the combined influence of configurations and workloads, limiting their applicability in dynamic environments. Additionally, current methods focus on either configurations or workloads in isolation, leaving the interactions between the two insufficiently explored. We conclude these challenges into three parts, which are realistic, applicable and feasible for the performance modeling, This thesis addresses the challenges through four projects. We conduct an empirical study to understand the complex relationships between configurations, workloads, and performance outcomes. Additionally, we develop a systematic sampling method to enhance the applicability and accuracy of configuration performance models, allowing models to learn from historical data actively. To further improve performance prediction, we propose a hybrid modeling approach that integrates configuration and workload variations, thereby increasing model simplicity and precision. Finally, we explore applying large language models (LLMs) to streamline the modeling process, embedding LLM insights into traditional methods to reduce the cost and complexity of performance modeling. These contributions aim to create robust performance models that better support software configuration and workload management, enhancing system reliability and efficiency.",288139983,0,28,,
10.1145/3731302.3731316,The X15 SPL Refactoring Engine,Don Batory,ACM eBooks,2026,(missing abstract),307968345,0,302,,
10.48550/arxiv.2507.19027,SESR-Eval: Dataset for Evaluating LLMs in the Title-Abstract Screening of Systematic Reviews,"Aleksi Huotala, Miikka Kuutila, Mika V Mantyla",arXiv.org,2025,"Background: The use of large language models (LLMs) in the title-abstract screening process of systematic reviews (SRs) has shown promising results, but suffers from limited performance evaluation. Aims: Create a benchmark dataset to evaluate the performance of LLMs in the title-abstract screening process of SRs. Provide evidence whether using LLMs in title-abstract screening in software engineering is advisable. Method: We start with 169 SR research artifacts and find 24 of those to be suitable for inclusion in the dataset. Using the dataset we benchmark title-abstract screening using 9 LLMs. Results: We present the SESR-Eval (Software Engineering Systematic Review Evaluation) dataset containing 34,528 labeled primary studies, sourced from 24 secondary studies published in software engineering (SE) journals. Most LLMs performed similarly and the differences in screening accuracy between secondary studies are greater than differences between LLMs. The cost of using an LLM is relatively low - less than 40 per secondary study even for the most expensive model. Conclusions: Our benchmark enables monitoring AI performance in the screening task of SRs in software engineering. At present, LLMs are not yet recommended for automating the title-abstract screening process, since accuracy varies widely across secondary studies, and no LLM managed a high recall with reasonable precision. In future, we plan to investigate factors that influence LLM screening performance between studies.",289409917,4,93,,
10.1145/3510003.3510190,On the benefits and limits of incremental build of software configurations,"Georges Aaron Randrianaina, Xhevahire Tërnava, Djamel Eddine Khelladi, Mathieu Acher, Georges Aaron Randrianaina, Xhevahire Tërnava, Djamel Eddine Khelladi, Mathieu Acher",Proceedings of the 44th International Conference on Software Engineering,2022,(missing abstract),252619611,3,36,,
10.1109/tsc.2022.3142853,FOCloud: Feature Model Guided Performance Prediction and Explanation for Deployment Configurable Cloud Applications,"I. Kumara, Mohamed Hameez Ariz, Mohan Baruwal Chhetri, Majid Mohammadi, Willem-Jan van den Heuvel, D. Tamburri",IEEE Transactions on Services Computing,2023,"The increasing heterogeneity of the VM offerings on public IaaS clouds gives rise to a very large number of deployment options for constructing distributed, multi-component cloud applications. However, selecting an appropriate deployment variant, i.e., a valid combination of deployment options, to meet required performance levels is non-trivial. The combinatorial explosion of the deployment space makes it infeasible to measure the performance of all deployment variants to build a comprehensive empirical performance model. To address this problem, we propose Feature-Oriented Cloud (FOCloud), a performance engineering approach for deployment configurable cloud applications. FOCloud (i) uses feature modeling to structure and constrain the valid deployment space by modeling the commonalities and variations in the different deployment options and their inter-dependencies, (ii) uses sampling and machine learning to incrementally and cost-effectively build a performance prediction model whose input variables are the deployment options, and the output variable is the performance of the resulting deployment variant, and (iii) uses Explainable AI techniques to provide explanations for the prediction outcomes of valid deployment variants in terms of the deployment options. We demonstrate the practicality and feasibility of FOCloud by applying it to an extension of the RuBiS benchmark application deployed on Google Cloud.",175060768,16,46,,
10.1007/978-981-96-8889-0_7,Enhanced Optimization Space Learning: Towards Real-Time Compiler Optimization,"Damian Garber, Sebastian Lubos, Viet-Man Le, Alexander Felfernig",Lecture notes in computer science,2025,(missing abstract),288722699,0,26,,
10.1145/3538646,Performance Health Index for Complex Cyber Infrastructures,"Sanjeev Sondur, Krishna Kant, Sanjeev Sondur, Krishna Kant",ACM transactions on modeling and performance evaluation of computing systems,2022,"Most IT systems depend on a set of configuration variables (CVs) , expressed as a name/value pair that collectively defines the resource allocation for the system. While the ill effects of misconfiguration or improper resource allocation are well-known, there are no effective a priori metrics to quantify the impact of the configuration on the desired system attributes such as performance, availability, etc. In this paper, we propose a Configuration Health Index (CHI) framework specifically attuned to the performance attribute to capture the influence of CVs on the performance aspects of the system. We show how CHI , which is defined as a configuration scoring system, can take advantage of the domain knowledge and the available (but rather limited) performance data to produce important insights into the configuration settings. We compare the CHI with both well-advertised segmented non-linear models and state-of-the-art data-driven models, and show that the CHI not only consistently provides better results but also avoids the dangers of a pure data drive approach which may predict incorrect behavior or eliminate some essential configuration variables from consideration.",146129371,4,75,,
10.1145/3555776.3578613,Specialization of Run-time Configuration Space at Compile-time: An Exploratory Study,"Xhevahire Tërnava, M. Acher, Benoît Combemale",ACM Symposium on Applied Computing,2022,"Numerous software systems are highly configurable through runtime options (e.g., command-line parameters). Users can tune some of the options to meet various functional and non-functional requirements such as footprint, security, or execution time. However, some options are never set for a given system instance, and their values remain the same whatever the use cases of the system. Herein, we design a controlled experiment in which the system's run-time configuration space can be specialized at compile-time and combinations of options can be removed on demand. We perform an in-depth study of the well-known x264 video encoder and quantify the effects of its specialization to its non-functional properties, namely on binary size, attack surface, and performance while ensuring its validity. Our exploratory study suggests that the configurable specialization of a system has statistically significant benefits on most of its analysed non-functional properties, which benefits depend on the number of the debloated options. While our empirical results and insights show the importance of removing code related to unused run-time options to improve software systems, an open challenge is to further automate the specialization process.",291391840,1,73,,
10.1145/3382025.3414960,Feature-oriented defect prediction,"Stefan Strüder, M. Mukelabai, D. Strüber, T. Berger",Software Product Lines Conference,2020,"Software errors are a major nuisance in software development and can lead not only to reputation damages, but also to considerable financial losses for companies. Therefore, numerous techniques for predicting software defects, largely based on machine learning methods, have been developed over the past decades. These techniques usually rely on code and process metrics in order to predict defects at the granularity of typical software assets, such as subsystems, components, and files. In this paper, we present the first systematic investigation of feature-oriented defect prediction: the prediction of defects at the granularity of features---domain-oriented entities abstractly representing (and often cross-cutting) typical software assets. Feature-oriented prediction can be beneficial, since: (i) particular features might be more error-prone than others, (ii) characteristics of features known as defective might be useful to predict other error-prone features, (iii) feature-specific code might be especially prone to faults arising from feature interactions. We present a dataset derived from 12 software projects and introduce two metric sets for feature-oriented defect prediction. We evaluated seven machine learning classifiers with three different attribute sets each, using our two new metric sets as well as an existing metric set from the literature. We observe precision and recall values of around 85% and better robustness when more diverse metrics sets with richer feature information are used.",21556533,27,104,,
10.1145/3731302.3731312,Pragmatic Issues,Don Batory,ACM eBooks,2026,(missing abstract),308310026,0,302,,
