DOI,Title,Authors,Journal,Year,Abstract,ResearchRabbitId,Cited By,References,PubMedId
(missing DOI),Proceedings of the 6 th Educators ’ Symposium : Software Modeling in Education at MODELS 2010 ( EduSymp 2010 ) The Role of User Guidance in the Industrial Adoption of MDE Approach,"Jari Rauhamäki, Outi Laitinen, S. Sierla, S. Kuikka",(missing journal),2010,"Model-Driven Engineering (MDE) has emerged as an actively researched and established approach for next generation control application development. Technology transfer to the industry is a topical research problem. Since most professional factory process control engineers do not have computer science backgrounds, there is an urgent need for studies of the role of user guidance in the professional learning, and thus, of industrial adoption of MDE approaches. In this study professionals were invited to a hands-on assessment of the AUKOTON MDE approach for factory process control engineering. Qualitative empirical material was collected and analyzed to identify the role of user guidance in the context of other factors impacting industrial adoption. Challenges in adoption that could be solved by user guidance were identified with the theory of organizational knowledge creation (SECI) model.",268385065,0,29,(missing PubMedId)
(missing DOI),Assessing the Inter-rater Reliability of the Usability Model for Software Development Processes and Practices,"Diego Fontdevila, Marcela Genero, Nicolás Paez, Alejandro Oliveros",Research Square (Research Square),2023,"Abstract Software processes and practices have a leading role in software development and in the last few decades a wide variety of processes and practices have emerged to face the challenges arising in the software industry. The success of process and practice adoption initiatives depends at least partially on the experience and satisfaction of the people who use them, thus making usability an interesting process quality attribute. This paper describes the inter-rater reliability evaluations performed on the UMP to assess consistency among metric values produced by different evaluators. It presents two inter-rater reliability assessment studies, the Scrum study and the TDD-BDD study. The paper presents four inter-rater reliability statistics for the process and practices under study, a comparative analysis of their strengths and weaknesses, and an analysis of the study results and their interpretation. The results show varying reliability results among the different UMP metrics, which seem to depend mostly on object of evaluation (Scrum, TDD, BDD), metric subjectivity and context sensitivity. The UMP was refined from the data gathered in the studies and a metric categorization is proposed to facilitate metric usage.",263276863,0,14,(missing PubMedId)
(missing DOI),Reporting experiments to satisfy professionals' information needs,"Andreas Jedlitschka, Natalia Juristo, Dieter Rombach",Empirical Software Engineering,2014,"Although the aim of empirical software engineering is to provide evidence for selecting the appropriate technology, it appears that there is a lack of recognition of this work in industry. Results from empirical research only rarely seem to find their way to company decision makers. If information relevant for software managers is provided in reports on experiments, such reports can be considered as a source of information for them when they are faced with making decisions about the selection of software engineering technologies. To bridge this communication gap between researchers and professionals, we propose characterizing the information needs of software managers in order to show empirical software engineering researchers which information is relevant for decision-making and thus enable them to make this information available. We empirically investigated decision makers' information needs to identify which information they need to judge the appropriateness and impact of a software technology. We empirically developed a model that characterizes these needs. To ensure that researchers provide relevant information when reporting results from experiments, we extended existing reporting guidelines accordingly. We performed an experiment to evaluate our model with regard to its effectiveness. Software managers who read an experiment report according to the proposed model judged the technology's appropriateness significantly better than those reading a report about the same experiment that did not explicitly address their information needs. Our research shows that information regarding a technology, the context in which it is supposed to work, and most importantly, the impact of this technology on development costs and schedule as well as on product quality is crucial for decision makers.",262624274,38,87,(missing PubMedId)
(missing DOI),"Using argumentation theory to analyse software practitioners defeasible evidence, inference and belief",Austen Rainer,Information & Software Technology,2017,(missing abstract),262595485,42,78,(missing PubMedId)
(missing DOI),Challenges and best practices in industry-academia collaborations in software engineering,"Vahid Garousi, Kai Petersen, Baris Ozkan",Information & Software Technology,2016,(missing abstract),261209676,267,95,(missing PubMedId)
(missing DOI),Perspectives for Collaborative Disaster Risk Reduction: Experience Report from the Brazilian Disaster Knowledge Platform,"Leandro Torres Di Gregorio, Alessandra Conde de Freitas, Marcos Barreto de Mendonça, Manoel Fernando de Souza Domingues Júnior",Springer eBooks,2021,"AbstractThe Disaster Knowledge Platform, PCON-Desastres, is an innovative and inclusive Brazilian technological tool that seeks to facilitate the collaborative participation and the integration of efforts between public authorities, teaching/research institutions, community organizations, private companies, other institutions, and individuals who work or are interested in disaster-related issues and is aligned with the guiding principles of the Sendai Framework and the Brazilian National Policy on Protection and Civil Defense. This chapter aims to present an experience report for PCON’s building process, the technological aspects, the improvements based on the users’ feedbacks, the methodology for collaborative articulation and dissemination, the main outputs, lessons learned, and recommendations. It is expected that this experience report may contribute to facilitating the process of developing, implementing, and/or enhancing other collaborative platforms aiming at disaster risk reduction on a global scale.KeywordsDisaster risk reductionRisk managementKnowledge managementCollaborative knowledge",257376299,0,10,(missing PubMedId)
(missing DOI),Decision-making support for choosing among different component origins,Deepika Badampudi,(missing journal),2017,"Context: The amount of software in solutions provided in various domains is continuously growing. These solutions are a mix of hardware and software solutions, often referred to as software-intensive systems. Companies seek alternatives to improve the software development process to avoid delays or cost overruns related to software development. Component origins such as in-house, outsourcing, Components OffThe-Shelf (COTS) or Open Source Software (OSS) are gaining popularity, therefore, leading to the decision to choose among component origins. Objective: The overall goal of this thesis is to support decisionmaking for selecting component origins. Following a decision-making process including all the key decision-making activities is crucial in making decisions. Therefore, the objective of the thesis is to support the decision-makers to create a decision-making process based on their context. In addition, the objective is to improve the decision-making process by incorporating research results and decision-makers’ opinion and knowledge in practice. Method: We identified the factors that influence the choice to select among different component origins through a systematic literature review using an Snowballing (SB) strategy and a Database (DB) search. We extended the investigation and conducted a case survey of 22 cases. Using design science, we developed solutions including a process-line to support decision-makers, a Bayesian synthesis process to integrate the evidence from literature into practice and a Knowledge Translation (KT) framework to facilitate the implementation of research results in practice. Results: In-house development and alternative component origins (outsourcing, COTS, and OSS) are being used for software development. Several factors such as time, cost and license implications influence the selection of component origins. Solutions have been proposed to support the decision-making. However, these solutions consider only a subset of factors identified in the literature. According to the case survey, the solutions proposed in literature are not aligned with practice. In practice, the decisions are mostly based on opinions. The design objective to support decision-makers with the decision-making process is identified. Therefore, we propose a process-line to address the design objective. In addition, to make the decision-making more informed",256426475,0,181,(missing PubMedId)
(missing DOI),Protocol and tools for conducting agile software engineering research in an industrial-academic setting,"Katarzyna Biesialska, Xavier Franch, Victor Muntés-Mulero",(missing journal),2018,"Conducting empirical research in software engineering industry is a process, and as such, it should be generalizable. The aim of this paper is to discuss how academic researchers may address some of the challenges they encounter during conducting empirical research in the software industry by means of a systematic and structured approach. The protocol developed in this paper should serve as a practical guide for researchers and help them with conducting empirical research in this complex environment.",256085595,2,7,(missing PubMedId)
(missing DOI),"An industry survey on approaches, success factors, and barriers for technology transfer in software engineering","Marian Daun, Jennifer Brings, Patricia Aluko Obe, B. Tenbergen","Software, Practice & Experience",2023,"One central aspect of software engineering research is the transfer of the proposed approaches into industrial practice. In the past, a number of technology transfer approaches and experiences from technology transfer projects in software engineering have already been reported. However, many researchers still struggle to get their research results noticed by practitioners. To investigate what is important to practitioners, we conducted a mixed‐methods study that provides us with reliable quantitative data as well as deeper insights from qualitative data. Our results show that there is a mismatch between industry professionals' needs and commonly proposed technology transfer approaches in the software engineering field. For instance, collaboration between industry and academia as well as participation in empirical evaluations is not deemed important from an industry point of view. In contrast, industry professionals emphasize the use of company‐specific pilot projects conducted by industry and the need for experts to be available in every phase of technology transfer.",255128464,10,79,(missing PubMedId)
(missing DOI),Practical experiences and value of applying software analytics to manage quality,"Anna Maria Vollmer, Silverio Martínez-Fernández, A. Bagnato, J. Partanen, Lidia López, Pilar Rodríguez",2019 ACM/IEEE International Symposium on Empirical Software Engineering and Measurement (ESEM),2019,"Background: Despite the growth in the use of software analytics platforms in industry, little empirical evidence is available about the challenges that practitioners face and the value that these platforms provide. Aim: The goal of this research is to explore the benefits of using a software analytics platform for practitioners managing quality. Method: In a technology transfer project, a software analytics platform was incrementally developed between academic and industrial partners to address their software quality problems. This paper focuses on exploring the value provided by this software analytics platform in two pilot projects. Results: Practitioners emphasized major benefits including the improvement of product quality and process performance and an increased awareness of product readiness. They especially perceived the semi-automated functionality of generating quality requirements by the software analytics platform as the benefit with the highest impact and most novel value for them. Conclusions: Practitioners can benefit from modern software analytics platforms, especially if they have time to adopt such a platform carefully and integrate it into their quality assurance activities.",248018109,1,23,(missing PubMedId)
(missing DOI),Contributions to Software Engineering and to the Development and Deployment of International Software Engineering Standards for Very Small Entities. (Contributions au génie logiciel et au développement et déploiement de normes internationales en génie logiciel pour de très petites organisations),Claude Y. Laporte,(missing journal),2009,"HAL is a multi-disciplinary open access archive for the deposit and dissemination of scientific research documents, whether they are published or not. The documents may come from teaching and research institutions in France or abroad, or from public or private research centers. L’archive ouverte pluridisciplinaire HAL, est destinée au dépôt et à la diffusion de documents scientifiques de niveau recherche, publiés ou non, émanant des établissements d’enseignement et de recherche français ou étrangers, des laboratoires publics ou privés. Contributions to Software Engineering and to the Development and Deployment of International Software Engineering Standards for Very Small Entities Claude Laporte",247436855,16,182,(missing PubMedId)
(missing DOI),Bringing Research Evidence into Software Industry Practice A Study on Evidence-based Practice in the Software Industrial Setting,Carol Passos,(missing journal),2010,"Research findings can influence decisions at many levels, but only if one knows how to translate them into actionable and practical information. One of the major concerns of empirical software engineering research is in making a real impact on software engineering practice, bridging the gap between academia and industry. The area calls for effective approaches to the dissemination of empirical evidence into practice and there are no simple answers for this problem. In this context, the main objective of this proposal is to develop a methodology to increase the influence of empirical results on software practices and project team behavior. The main contribution is to deepen relevant knowledge and experience on how to expand the use of empirical results in the software development process, including the selection and use of technologies and practices in software industry context.",247079299,0,45,(missing PubMedId)
(missing DOI),Chapter XIV Benchmarking in the Semantic Web,R. García-Castro,(missing journal),2009,"The Semantic Web technology needs to be thoroughly evaluated for providing objective results and obtaining massive improvement in its quality; thus, the transfer of this technology from research to industry will speed up. This chapter presents software benchmarking, a process that aims to improve the Semantic Web technology and to find the best practices. The chapter also describes a specific software benchmarking methodology and shows how this methodology has been used to benchmark the interoperability of ontology development tools, employing RDF(S) as the interchange language.",246694571,0,28,(missing PubMedId)
(missing DOI),Step 1: Identify Potential Improvement Areas Based on Industry Needs Technology Transfer,"C. Wohlin, P. Garre, S. Larsson",(missing journal),(missing year),"technology transfer model that embodies this philosophy. We initiated this partnership to conduct industry-relevant research in requirements engineering and product management. Technology transfer in this context is a prerequisite: it validates academic research results in a real setting, and it provides a way to improve industry development and business processes. Our model involves seven steps, each building on the ones before it. Although previous transfer models, such as the one by Shari Law-rence Pfleeger, 1 inspired our model, its complete development evolved over time. These steps emerged during a long-term joint commitment, and we added new steps, as needed, along the way. This evolution also dictated the activities we performed in each step. For example, the best way to validate new technology depends on the company's needs and which validation processes the company trusts, as well as the re-searchers' need to validate new technology for academic purposes. Considering industry preferences when performing validation is important for success. 2 In this article, we present our technology transfer model, and we report our experiences and lessons learned for each of the seven steps involved. Figure 1 outlines this model, showing how all seven steps are relevant and interdependent for overall transfer success. We began by assessing current practices, observing domain and business settings, and identifying the demands imposed on industry. 3 Observation of the real world before formulating research questions is critical. 4 Research must connect to the needs that on-site practitioners perceive, or their commitment could be difficult to obtain. During this stage, we identified several potential areas for improvement in product feature A Model for Technology Transfer in Practice T echnology transfer, and thus industry-relevant research, involves more than merely producing research results and delivering them in publications and technical reports. It demands close cooperation and collaboration between industry and academia throughout the entire research process. During research conducted in a partnership between Blekinge Institute of Technology and two companies, Danaher Motion Särö AB (DHR) and ABB (see the "" Industry Partners "" sidebar), we devised a Successful technology transfer requires close cooperation and collaboration between researchers and practitioners. A seven-step transfer model embodying this philosophy emerged from two academic-industry partnerships.",245903541,0,11,(missing PubMedId)
(missing DOI),An Empirical Review of Software Process Assessments 1,"K. Emam, D. Goldenson",(missing journal),1998,"In the recent past there has been a rapid increase in the use of process assessments in the software industry. Such assessments play an important role in initiating and tracking process improvements. In addition, there has been a proliferation of best practice models that are the basis for the assessments. The purpose of this chapter is to review the empirical evidence that exists to date on the efficacy of process assessments, with a specific focus on the CMM for software and the emerging ISO/IEC 15504 international standard. The available evidence is quite extensive, and supports the claims that assessments can be an effective tool for process improvement. We also highlight gaps in the literature where further work needs to be done. 1 ® CMM and Capability Maturity Model are registered in the U.S. Patent and Trademark Office. SM CMMI and IDEAL are service marks of Carnegie Mellon University. 2 The Software Engineering Institute (SEI) is a federally funded research and development center sponsored by the U.S. Department of Defense and operated by Carnegie Mellon University.",245631033,0,129,(missing PubMedId)
(missing DOI),The Role of Quality Assurance in Software Development Projects : Project Failures and Business Performance,Dr. Emmanuel Ichu,(missing journal),2010,"Despite rapid advances in all facets of technology, the software industry still struggles with the formidable task of developing software applications that meet quality standards, and budget constraints. The need for software to be error-free remained a challenge to the IT industry. Therefore, the primary purpose of this study is to answer why executives reluctant to allocate resources to quality assurance (QA) process during the process of the system development life cycle (SDLC)? This research used a qualitative study design to investigate to what extent the involvement of QA during the SDLC process reduced software project failures. The data were analyzed using inductive methods and was intended to be generalized to the entire IT software development population. Participants were selected from major cities of the 50 United States that fit study criteria. The research indicated a sense that inclusion of QA in all phases of SDLC was an excellent phenomenon.",245488171,0,40,(missing PubMedId)
(missing DOI),A social-technical approach to selecting software supporting COTS-based systems,D. Kunda,(missing journal),2000,"A chrysanthemum plant names Brass characterized as to uniqueness by the combined characteristics of flat capitulum form, decorative capitulum type, greyed-orange ray floret color, diameter across face of capitulum ranging from 6 to 7 cm. at maturity, uniform nine week flowering response, medium plant height when grown single stem, 10 to 15 cm. peduncles on open, normally terminal sprays, and 13 DEG C. minimum temperature tolerance for initiation and development of flowering buds.",245302185,16,134,(missing PubMedId)
(missing DOI),TECHNOLOGY TRANSITION MODEL DYNAMICAL SYSTEM MODEL,Michael Saboe,(missing journal),2001,"This paper considers an information theoretic and dynamical systems technology transfer model. The model enables decision-makers to “engineer” resource and risk programmatic issues. Analysis with the model enables prediction and prescriptive action for a research or program manager. The model deals with entropy as defined in information theory. The TechTx Basic Entropy model addresses macro level trends of a technology at the community level. The dynamical systems TechTx Entropy Feedback model, is based on non-linear control theory. The paper develops the state quantities to develop state functions for analysis of an evolutionary technology process. This summary paper focuses on the elements required to model the technology transfer process. Specifically, this paper develops the fundamentals for a rigorous software technology transfer model as required by the TechTx Entropy Feedback model. The relationship of entropy (SH) as defined for information by Shannon, and the eigenvalue (λ), the norm of a dynamical system is explored. The Lyapunov number is a natural measure developed from the eigenvalue of a dynamical system, e.g. related to entropy. The significance of the eigenvalue for a communications software technology transfer model is discussed. The model shows that the TechTx Basic Entropy and TechTx Entropy Feedback models converge at the same rate. Empirical data with tens of thousands of data points provides a tight confidence interval and demonstrate that the messages conform to a Boltzmann distribution. The paper describes a method to measure the temperature of an evolutionary information theoretic process. This temperature is measured in degrees (Saboe) based in information units. The result is a rich set of analytical tools previously unavailable to be used for policy and programmatic issues to reduce risk, increase efficiency and accelerate maturation of a desired technology. Software Technology Transition Model Dynamical System Model.......................................1 Abstract..................................................................1",241132896,0,48,(missing PubMedId)
(missing DOI),Towards improved Adoption: Effectiveness of Research Tools in the Real World,"Richa Awasthy, S. Flint, R. Sankaranarayana",QuASoQ/TDA@APSEC,2015,One of the challenges in the area of software engineering research has been the low rate of adoption by industry of the tools and methods produced by university researchers. We present a model to improve the situation by providing tangible evidence that demonstrates the real-world effectiveness of such tools and methods. A survey of practising software engineers indicates that the approach in the model is valid and applicable. We apply and test the model for providing such evidence and demonstrate its effectiveness in the context of static analysis using FindBugs. This model can be used to analyse the effectiveness of academic research contributions to industry and contribute towards improving their adoption.,239332225,3,24,(missing PubMedId)
(missing DOI),Subjective Norm Perceived Usefulness Perceived Ease of Use Intention to Use Actual,"M. Umarji, C. Seaman",(missing journal),2004,"Software Process Improvement (SPI) initiatives induce organizational change, by introducing new tools, techniques and work practices. Organizations have to address acceptance issues such as resistance to change, compatibility and fear of adverse consequences. Social psychology literature includes the Technology Acceptance Model (TAM) and the Theory of Planned Behavior (TPB), which study such adoption issues and predict intention to use and actual usage of workplace technology. Some constructs of these models could be applied to software organizations to make it easier for them to counter the initial resistance and to assimilate process improvement into the work culture. To increase applicability of these models to the SPI context, some additional constructs are proposed, by taking into account organizational culture, the impact of changes caused by SPI and the unique characteristics of software developers.",238555992,6,27,(missing PubMedId)
(missing DOI),Description of the SWEBOK Knowledge Area Software Engineering Process,El-Emam,(missing journal),2000,(missing abstract),239310755,0,118,(missing PubMedId)
(missing DOI),Supporting Technology Transfer by Providing Recommendations for Writing Structured Guidelines,"André Heuer, Philipp Diebold, Torsten Bandyszak",Software Engineering,2013,"It takes between 15 and 20 years to achieve widespread implementation of recent technologies from research to practice. Guidelines have shown to be an adequate method for efficiently transferring technology into an industrial context, especially in software engineering. However, recommendations for writing guidelines are still fuzzy w.r.t. content and structure, i.e., existing approaches do not give comprehensive recommendations on how to write meaningful guidelines. In this paper, we propose recommendations for writing guidelines. These recommendations include a reference structure that supports the author in writing guidelines by providing guiding questions for each chapter of a guideline. The recommendations are based on requirements that were elicited from leading companies in different industry domains. It was initially evaluated in a prototypical guideline instantiation by one of our industry partners.",237534343,9,18,(missing PubMedId)
(missing DOI),The Role of Quality Assurance in Software Development Projects: Project Failures and Business Performance,"A. Mateen, M. Jahanzaib, Nayyar Iqbal",ArXiv,2017,"In the product business still battles with the hard assignment of creating programming applications that meet quality gauges, and spending limitations. The requirement for programming to be without mistake remained a test to the IT business. Hence, the basic role of this study is to answer why officials hesitant to apportion assets to quality confirmation (QA) process amid the procedure of the framework advancement life cycle (SDLC)? This exploration utilized a quantitative study outline to research to what degree the inclusion of QA amid the SDLC procedure diminished programming venture disappointments. The information will be investigate utilizing inductive techniques and was expected to be summed up to the whole IT programming improvement populace. The exploration showed a feeling that incorporation of QA in all periods of SDLC was a great marvel. To gather the essential information, a proficient study will be led through survey structure will be utilized to take the criticisms and perspectives from various programming houses and industry specialists. The last stage will be the elucidating factual investigation by utilizing measurable techniques. Matlab programming will be utilized to gauge the fluctuation and execution by contrasting the execution parameters. As a consequence of this examination, the odds of the venture disappointment amid undertaking advancement will be declines and the business execution of the tasks will be expansions.",237446702,5,42,(missing PubMedId)
(missing DOI),Field Study on the Elicitation and Classification of Defects for Defect Models,"Dominik Holling, D. M. Fernández, A. Pretschner",PROFES,2015,(missing abstract),236803532,5,52,(missing PubMedId)
(missing DOI),Description of The SWEBOK Knowledge Area Software Engineering Process (Version 0.5),K. Emam,(missing journal),2000,"The software engineering process Knowledge Area (KA) can be examined at two levels. The first level encompasses the technical and managerial activities that are performed during software development, maintenance, acquisition, and retirement. The second is the meta-level which is concerned with the definition, implementation, measurement, management, change and improvement of the software processes.",236555921,0,119,(missing PubMedId)
(missing DOI),What characterizes an Enterprise Systems Implementation Methodology?,D. Mihailescu,AMCIS,2009,"Enterprise Systems Implementation Methodology (ESIM) is considered to be a critical factor for successful Enterprise Systems (ES) implementations. In spite of ESIM’s potential and significance for practice, little attention has been paid to this object of study in ES literature. Current studies reveal contradictory findings regarding its potential value and provide a fragmented understanding of it. This paper, therefore, addresses the following research question: What characterizes an ESIM? and suggests that ESIM can be interpreted in terms of its characterizing aspects, i.e. formalized, relational and emergent. This interpretation provides guidance in assessing ESIM in practice and lays the groundwork for useful follow-on research. Since ESIM might be regarded as one of the latest interventions undertaken in an attempt to improve the quality of an ES product and the productivity and quality of an implementation process, this study retains valuable insights of prior works in Information Systems Development research.",236386092,1,51,(missing PubMedId)
(missing DOI),CHAPTER 9 SOFTWARE ENGINEERING PROCESS,K. Emam,(missing journal),2001,"The software engineering process Knowledge Area has witnessed dramatic growth over the last decade. This was partly due to a recognition by major acquirers of systems where software is a major component that process issues can have an important impact on the ability of their suppliers to deliver. Therefore, they encouraged a focus on the software engineering process as a way to remedy this. Furthermore, the academic community has recently pursued an active research agenda in developing new tools and techniques to support software engineering processes, and also empirically studying these processes and their improvement. It should also be recognized that many software engineering process issues are closely related to other disciplines, namely those in the management sciences, albeit they have used a different terminology. The industrial adoption of software engineering process technology has also been increasing, as demonstrated by a number of published success stories. Therefore, there is in fact an extensive body of knowledge on the software engineering process. Keywords",236003325,0,115,(missing PubMedId)
(missing DOI),Is Server Virtualization Implementation in Business and Public Organizations a Worthwhile Investment?,"A. Ogunyemi, K. Johnston",Int. J. Inf. Technol. Decis. Mak.,2017,"Globalization is responsible for rapid development and release of information technologies. Globalization drives the competitiveness of people and organizations. Competitiveness makes organizations in particular to seek for solutions to enhance their competitive edge. Recent survey results on server virtualization suggest that the need to enhance competitiveness by reducing costs and improving business productivity is a major reason for the adoption of server virtualization in organizations. Thus, in taking adoption decisions on emerging technologies such as server virtualization, the provocative question we ask is: Is server virtualization implementation in business and public organizations a worthwhile investment? The outcomes of this study clearly show the answer is YES. However, the pitfalls associated with the implementation of these technologies are capable of making future adopters skeptical. This study examined the benefits and drawbacks of server virtualization implementation in 83 South African organizations. Server virtualization implementation has couple of drawbacks, which should be looked into.",235939491,1,51,(missing PubMedId)
(missing DOI),Chapter 8 . 17 Benchmarking in the Semantic Web,"R. García-Castro, A. Gómez-Pérez",(missing journal),2008,"The Semantic Web technology needs to be thoroughly evaluated for providing objective results and obtaining massive improvement in its quality; thus, the transfer of this technology from research to industry will speed up. This chapter presents software benchmarking, a process that aims to improve the Semantic Web technology and to find the best practices. The chapter also describes a specific software benchmarking methodology and shows how this methodology has been used to benchmark the interoperability of ontology development tools, employing RDF(S) as the interchange language.",235560848,0,66,(missing PubMedId)
